,id,English Name,Genus,Location,Latitude,Longitude,Quality Score,Author Remarks,Recording Type,MP3 Download URL,Recording Name
453,417610,Townsend's Solitaire,Myadestes,"Deschutes County, Oregon",44.3031,-121.7093,C,"Extremely quiet ""whisper song"" recorded from a bird singing <30m directly above me, immediately following unusual copulation event. Two individuals observed in act of copulation. Bird on top ""dismounted"" and sat very closely beside bird on the bottom. Then the bird formerly on bottom jumped on top and started copulating, this time with the positions reversed! This second copulation was briefer and less coordinated, but still appeared to be a copulation attempt. 

After this head-scratching event, both birds separated and one began to sing this VERY quiet, fast and repetitive whisper song. It is unclear which of the two copulating individuals was the one vocalizing. 

Recorded on an iPhone 6. 12dB high pass filter at 1000kHz, 24dB low pass filter at 5000kHz, 10dB amplification.","song, whisper song",//www.xeno-canto.org/417610/download,417610.mp3
454,422671,Veery,Catharus,"Milton-Freewater, Umatilla County, Oregon",45.8306,-118.17,B,Stream in background,call,//www.xeno-canto.org/422671/download,422671.mp3
455,441365,Swainson's Thrush,Catharus,"Wildwood Recreation Area, Clackamas County, Oregon",45.3501,-121.9927,no score,Recording amplified. High pass filter. Noise reduced.,call,//www.xeno-canto.org/441365/download,441365.mp3
456,441364,Swainson's Thrush,Catharus,"Wildwood Recreation Area, Clackamas County, Oregon",45.3501,-121.9927,no score,Recording amplified. High pass filter. Noise reduced.,call,//www.xeno-canto.org/441364/download,441364.mp3
457,441363,Swainson's Thrush,Catharus,"Wildwood Recreation Area, Clackamas County, Oregon",45.3501,-121.9927,no score,Recording amplified. High pass filter. Noise reduced.,call,//www.xeno-canto.org/441363/download,441363.mp3
458,441360,Swainson's Thrush,Catharus,"Wildwood Recreation Area, Clackamas County, Oregon",45.3501,-121.9927,no score,Recording amplified. High pass filter. Noise reduced.,song,//www.xeno-canto.org/441360/download,441360.mp3
459,441361,Swainson's Thrush,Catharus,"Wildwood Recreation Area, Clackamas County, Oregon",45.3501,-121.9927,B,Recording amplified. High pass filter. Noise reduced.,song,//www.xeno-canto.org/441361/download,441361.mp3
460,441358,Swainson's Thrush,Catharus,"Wildwood Recreation Area, Clackamas County, Oregon",45.3501,-121.9927,B,Recording amplified. High pass filter. Noise reduced.,song,//www.xeno-canto.org/441358/download,441358.mp3
461,441357,Swainson's Thrush,Catharus,"Wildwood Recreation Area, Clackamas County, Oregon",45.3501,-121.9927,B,Recording amplified. High filter. Noise reduced.,song,//www.xeno-canto.org/441357/download,441357.mp3
462,253516,Swainson's Thrush,Catharus,"Oceanside, Tillamook, Tillamook County, Oregon",45.4652,-123.9709,B,"Call of a bird from low strata in coastal forest. Warm and calm day. Low frequencies filtered to reduce the roar of the nearby sea. Recording equipment: Telinga pro 7 Dat mic, Sound devices 702.",call,//www.xeno-canto.org/253516/download,253516.mp3
463,543355,American Robin,Turdus,"2310 North Wygant Street, North Portland, Multnomah County, Oregon",45.5575,-122.6912,no score,,"adult, male, song, subsong",//www.xeno-canto.org/543355/download,543355.mp3
464,543354,American Robin,Turdus,"2310 North Wygant Street, North Portland, Multnomah County, Oregon",45.5575,-122.6912,no score,,"adult, male, song, subsong",//www.xeno-canto.org/543354/download,543354.mp3
465,543353,American Robin,Turdus,"2310 North Wygant Street, North Portland, Multnomah County, Oregon",45.5575,-122.6912,no score,,"call, song",//www.xeno-canto.org/543353/download,543353.mp3
466,524661,American Robin,Turdus,"Willamette Bluff, North Portland, Multnomah County, Oregon",45.5649,-122.6984,no score,Recording amplified. High pass filter used.,"adult, male, song",//www.xeno-canto.org/524661/download,524661.mp3
467,524660,American Robin,Turdus,"Tualatin River NWR, Washington County, Oregon",45.3846,-122.8427,no score,Bird sitting on nest making the high thin call. Another bird calling in the background.,"adult, call, sex uncertain",//www.xeno-canto.org/524660/download,524660.mp3
468,524659,American Robin,Turdus,"Tualatin River NWR, Washington County, Oregon",45.3846,-122.8427,no score,Bird sitting on nest making the high thin call. Another bird calling in the background.,"adult, call, sex uncertain",//www.xeno-canto.org/524659/download,524659.mp3
469,524658,American Robin,Turdus,"Willamette Bluff, North Portland, Multnomah County, Oregon",45.5649,-122.6984,no score,Recording amplified. High pass filter used.,song,//www.xeno-canto.org/524658/download,524658.mp3
470,524263,American Robin,Turdus,"Willamette Bluff, North Portland, Multnomah County, Oregon",45.5649,-122.6984,no score,Amplified. High pass filter.,"male, song",//www.xeno-canto.org/524263/download,524263.mp3
471,524258,American Robin,Turdus,"Tualatin River NWR, Washington County, Oregon",45.3846,-122.8427,no score,Adult sitting on nest giving high thin call note. Another adult giving another call in the distance. Recording amplified and high pass filter used.,call,//www.xeno-canto.org/524258/download,524258.mp3
472,524257,American Robin,Turdus,"Tualatin River NWR, Washington County, Oregon",45.3846,-122.8427,no score,Adult sitting on nest giving high thin call note. Another adult giving another call in the distance. Recording amplified and high pass filter used.,call,//www.xeno-canto.org/524257/download,524257.mp3
473,524256,American Robin,Turdus,"Tualatin River NWR, Washington County, Oregon",45.3846,-122.8427,no score,Adult sitting on nest giving high thin call note. Another adult giving another call in the distance. Recording amplified and high pass filter used.,"adult, call, sex uncertain, song",//www.xeno-canto.org/524256/download,524256.mp3
474,524255,American Robin,Turdus,"Tualatin River NWR, Washington County, Oregon",45.3846,-122.8427,no score,Adult sitting on nest giving high thin call note. Another adult giving another call in the distance. Recording amplified and high pass filter used.,"adult, call, sex uncertain",//www.xeno-canto.org/524255/download,524255.mp3
475,524254,American Robin,Turdus,"2310 North Wygant Street, North Portland, Multnomah County, Oregon",45.5575,-122.6912,no score,,"adult, male, song",//www.xeno-canto.org/524254/download,524254.mp3
476,482331,American Robin,Turdus,"Keeney Meadows, Grant County, Oregon",44.6107,-118.9967,B,Robin perched in low bushes by a large mountain meadow. An evening song so you can really hear the thrush coming out in the bird with  the very fluty notes,Evening Song,//www.xeno-canto.org/482331/download,482331.mp3
477,253522,American Robin,Turdus,"Oceanside, Tillamook, Tillamook County, Oregon",45.4652,-123.9709,B,"Call  series of a bird flying through lower strata of coastal forest. Warm and calm day. Low frequencies filtered to reduce the roar of the nearby sea. Recording equipment: Telinga pro 7 Dat mic, Sound devices 702.",call,//www.xeno-canto.org/253522/download,253522.mp3
478,524253,Buff-bellied Pipit,Anthus,"Willamette Bluff, North Portland, Multnomah County, Oregon",45.5649,-122.6984,no score,,"adult, call",//www.xeno-canto.org/524253/download,524253.mp3
479,524252,Buff-bellied Pipit,Anthus,"Willamette Bluff, North Portland, Multnomah County, Oregon",45.5649,-122.6984,no score,,"adult, call",//www.xeno-canto.org/524252/download,524252.mp3
480,531299,Evening Grosbeak,Hesperiphona,"2310 North Wygant Street, North Portland, Multnomah County, Oregon",45.5575,-122.6912,no score,,"adult, call, female, male",//www.xeno-canto.org/531299/download,531299.mp3
481,531298,Evening Grosbeak,Hesperiphona,"2310 North Wygant Street, North Portland, Multnomah County, Oregon",45.5575,-122.6912,no score,,"adult, female, flight call, male",//www.xeno-canto.org/531298/download,531298.mp3
482,531297,Evening Grosbeak,Hesperiphona,"2310 North Wygant Street, North Portland, Multnomah County, Oregon",45.5575,-122.6912,no score,,"adult, call, female, flight call, male",//www.xeno-canto.org/531297/download,531297.mp3
483,531296,Evening Grosbeak,Hesperiphona,"2310 North Wygant Street, North Portland, Multnomah County, Oregon",45.5575,-122.6912,no score,,"adult, call, female, flight call, male",//www.xeno-canto.org/531296/download,531296.mp3
484,330646,Evening Grosbeak,Hesperiphona,"Otis, Tillamook County, Oregon",45.0636,-123.975,B,iPhone,call,//www.xeno-canto.org/330646/download,330646.mp3
